"ori_node";"des_node";"ori_layer"
2141;5973;2
2141;28464;2
2141;48179;2
2141;50339;2
2168;3310;2
2168;3921;2
2175;6779;2
2175;10905;2
2175;12138;2
2175;12582;2
2175;16863;2
2178;22024;2
2178;26718;2
2187;4829;2
2187;39813;2
2205;11626;2
2205;49694;2
2255;7384;2
2255;36404;2
2255;41726;2
2255;46996;2
2255;49979;2
2258;17867;2
2258;19980;2
2327;44678;2
2327;49183;2
2380;3922;2
2380;37983;2
2383;1807;2
2383;3507;2
2405;3361;2
2405;12956;2
2431;15195;2
2431;19110;2
2451;17231;2
2451;148013;2
2467;2837;2
2467;26219;2
2467;33257;2
2483;5967;2
2483;15496;2
2483;23622;2
2483;192463;2
2518;18150;2
2518;42067;2
2518;44151;2
2518;47793;2
2523;9044;2
2523;11542;2
2523;17423;2
2523;18421;2
2523;25380;2
2523;28376;2
2523;38738;2
2523;39838;2
2588;5970;2
2588;36644;2
2625;30981;2
2625;35069;2
2660;1893;2
2660;33592;2
2667;9433;2
2667;23672;2
2676;12052;2
2676;27200;2
2679;6194;2
2679;7263;2
2687;58;2
2687;2702;2
2695;2704;2
2695;7382;2
2695;84854;2
2702;58;2
2702;2687;2
2702;46973;2
2702;48021;2
2704;2695;2
2704;13380;2
2704;16358;2
2704;84854;2
2708;22856;2
2728;2900;2
2728;8991;2
2760;3517;2
2760;5002;2
2760;9685;2
2760;12707;2
2760;19516;2
2760;19584;2
2760;25930;2
2760;26773;2
2760;30363;2
2760;34317;2
2760;35540;2
2760;47492;2
2760;47812;2
2808;7090;2
2808;12406;2
2808;42604;2
2837;915;2
2837;2467;2
2837;2837;2
2837;7300;2
2837;7588;2
2837;8020;2
2837;8959;2
2837;10217;2
2837;12281;2
2837;14766;2
2837;22331;2
2837;22479;2
2837;26219;2
2837;26777;2
2837;28461;2
2837;30473;2
2837;33257;2
2837;38876;2
2837;45019;2
2837;46973;2
2878;2760;2
2878;3517;2
2878;42652;2
2878;203011;2
2879;19038;2
2879;44423;2
2900;2728;2
2900;50339;2
