source;target;layer;year
10517400;51024786;collab;1984
1499701;3308035;collab;2007
34063335;3537479;collab;2011
1155193;1485158;collab;2001
2689917;1922927;collab;2011
7521;2343319;collab;2009
56648954;55932852;collab;2005
695126;1894512;collab;2010
12444;1730113;collab;2004
26526;384014;collab;2002
239200;3299730;collab;1994
403149;2854209;collab;2002
1628808;794527;collab;2008
384301;957070;collab;2007
1417835;53307089;collab;2005
1633442;3365206;collab;1993
220129;1780247;collab;1998
920685;852431;collab;2005
508274;54814826;collab;1990
2041910;7367383;collab;2004
17950542;304920;collab;2008
1233948;1894512;collab;2009
3459998;630735;collab;2011
1845460;17927337;collab;1993
3564951;3506898;collab;2008
3539699;1542517;collab;2006
3571628;10878479;collab;2008
97124;1927180;collab;2008
561063;608369;collab;1985
248041;1976061;collab;2002
1123088;1411009;collab;2009
10223633;55348274;collab;1992
48636717;1993470;collab;2011
53982076;17973864;collab;1982
8017529;868730;collab;2010
573577;316437;collab;2003
1710871;1902888;collab;2003
543701;229471;collab;1984
40420210;9180183;collab;1993
19202;1993470;collab;2008
51072914;1423759;collab;2002
1633442;1194029;collab;1997
169566;349173;collab;1999
9140986;244466;collab;2011
2178454;10447053;collab;2011
740002;3317730;collab;2009
1688876;42138;collab;1995
53663192;261768;collab;2005
1417835;50412641;collab;2000
642060;1310109;collab;2003
17902638;54170929;collab;2000
2004084;3616636;collab;2009
2034264;10513013;collab;2007
54544458;84674;collab;2011
715211;3329404;collab;2009
9149894;1123088;collab;2011
17626;1536874;collab;1996
3832253;1819604;collab;2009
6824121;10506252;collab;2000
3526901;1417835;collab;2009
2421538;40422588;collab;1989
47562251;542645;collab;2007
1521225;59042;collab;2007
1225906;1434215;collab;2004
43396392;257916;collab;2005
18046451;738673;collab;2010
1208922;59042;collab;2007
898125;154743;collab;2008
2689917;3571628;collab;2010
9228945;10223643;collab;1984
1116167;2164050;collab;2008
53698073;3313407;collab;2010
199499;18046451;collab;2011
3399414;46911587;collab;2009
1373751;275506;collab;1997
56740859;1902888;collab;2008
3536258;2624870;collab;2011
1466157;3509315;collab;2008
517110;3571628;collab;2010
