source;target;layer
3629702;69050;collab
933630;811813;collab
53890749;299610;collab
2132771;840035;collab
1200530;616265;collab
34063279;150077;collab
819325;169069;collab
1695628;981847;collab
2972930;755515;collab
10706025;1353615;collab
10517491;85018;collab
1722247;23354738;collab
19525;390956;collab
1200159;70423;collab
501775;616265;collab
438479;1156820;collab
601959;17950542;collab
588989;1232150;collab
1903859;300644;collab
1117178;1562235;collab
867633;103922;collab
1521225;795368;collab
12518928;1142659;collab
3832279;1727701;collab
1044933;315058;collab
34063294;3485100;collab
17935198;2114277;collab
542924;1488310;collab
18531293;2320964;collab
78072;261768;collab
83891;1025739;collab
2295139;1993470;collab
1629310;438079;collab
379385;1644999;collab
20735796;3352114;collab
3506583;1429721;collab
459290;133710;collab
734167;153119;collab
758524;3313750;collab
339962;7270619;collab
1924104;795368;collab
795368;80674;collab
731329;794527;collab
1858639;26686546;collab
1818317;616265;collab
3629689;1593506;collab
2616261;1536874;collab
3860428;413409;collab
601959;3571628;collab
49939857;524350;collab
61060;3425141;collab
19525;708524;collab
601959;2437370;collab
1819604;22939480;collab
359050;1527651;collab
1751940;2344131;collab
2189701;1307643;collab
1461050;333937;collab
3642213;1577705;collab
520332;1780247;collab
253283;1772051;collab
524350;1740723;collab
2437370;1769228;collab
3442398;867633;collab
666211;1034757;collab
10521580;40419564;collab
51580817;3607548;collab
3365295;54170929;collab
42138;3322859;collab
808963;954490;collab
613094;3576686;collab
50293022;1200530;collab
1079366;85018;collab
1970849;2060748;collab
34031474;278588;collab
9424424;2917734;collab
17876629;12518928;collab
359050;341294;collab
509724;1200159;collab
54587358;8194279;collab
2132771;15534;collab
47271543;58129;collab
47639686;2114277;collab
903828;1363826;collab
316837;409393;collab
1236596;755515;collab
1126212;53307089;collab
2975450;1034757;collab
3653216;259224;collab
1780247;1710871;collab
1291393;53620119;collab
51599466;17927374;collab
21997;2114277;collab
65293;1993470;collab
326230;92955;collab
64576;502782;collab
10514273;623711;collab
1420271;2624870;collab
436123;889494;collab
1780247;683784;collab
53640323;58129;collab
875189;12716274;collab
3823153;859601;collab
1769228;571081;collab
403149;1356251;collab
494859;3333413;collab
40420210;3365256;collab
2229939;1200530;collab
188847;1772051;collab
3365408;3365365;collab
2810717;2004084;collab
43994839;9170123;collab
1938083;954490;collab
46356;114000;collab
1533004;2899408;collab
18229;1554243;collab
3629736;224552;collab
991039;49828159;collab
34063316;244466;collab
359050;17897922;collab
494965;2114277;collab
810078;2295139;collab
1402107;1894512;collab
2624870;502782;collab
