source;target;layer;timestamp
adelethorens;RegulaRytz;follows;2015-10-04
adelethorens;RobertCramer_GE;follows;2011-01-12
adelethorens;bglaettli;retweets;2015-09-04
adelethorens;RobertCramer_GE;retweets;2015-09-03
adelethorens;bglaettli;retweets;2015-09-02
adelethorens;alinetrede;retweets;2015-09-02
adelethorens;bglaettli;retweets;2015-09-02
adelethorens;adelethorens;favorites;2015-09-02
adelethorens;adelethorens;favorites;2015-09-02
adelethorens;C_Darbellay;favorites;2015-09-02
adelethorens;adelethorens;favorites;2015-09-02
adelethorens;adelethorens;favorites;2015-09-02
adelethorens;bastiengirod;retweets;2015-09-01
adelethorens;adelethorens;favorites;2015-09-01
adelethorens;adelethorens;favorites;2015-09-01
adelethorens;bglaettli;favorites;2015-08-31
adelethorens;bastiengirod;retweets;2015-08-31
adelethorens;NordmannRoger;retweets;2015-08-31
adelethorens;Juerg_Grossen;favorites;2015-08-31
adelethorens;bastiengirod;retweets;2015-08-31
adelethorens;DanielVischerNR;favorites;2015-08-31
adelethorens;bglaettli;favorites;2015-08-31
adelethorens;cedricwermuth;retweets;2015-08-30
adelethorens;alinetrede;favorites;2015-08-30
adelethorens;alinetrede;favorites;2015-08-30
adelethorens;bglaettli;favorites;2015-08-30
adelethorens;bastiengirod;favorites;2015-08-30
adelethorens;bastiengirod;retweets;2015-08-29
adelethorens;bastiengirod;retweets;2015-08-29
adelethorens;alinetrede;favorites;2015-08-29
adelethorens;bglaettli;retweets;2015-08-29
adelethorens;bglaettli;retweets;2015-08-29
adelethorens;alinetrede;retweets;2015-08-29
adelethorens;fteuscher;favorites;2015-08-29
adelethorens;Juerg_Grossen;favorites;2015-08-28
adelethorens;bastiengirod;retweets;2015-08-28
adelethorens;RegulaRytz;retweets;2015-08-28
adelethorens;bastiengirod;retweets;2015-08-28
adelethorens;adelethorens;favorites;2015-08-28
adelethorens;adelethorens;favorites;2015-08-27
adelethorens;adelethorens;favorites;2015-08-27
adelethorens;bglaettli;retweets;2015-08-26
adelethorens;bastiengirod;favorites;2015-08-26
adelethorens;bastiengirod;retweets;2015-08-26
adelethorens;alinetrede;retweets;2015-08-26
adelethorens;bastiengirod;retweets;2015-08-26
adelethorens;bastiengirod;favorites;2015-08-26
adelethorens;NordmannRoger;retweets;2015-08-26
adelethorens;bastiengirod;retweets;2015-08-26
adelethorens;bglaettli;retweets;2015-08-25
adelethorens;bglaettli;favorites;2015-08-25
adelethorens;alinetrede;favorites;2015-08-25
