source;target;layer;timestamp
aad260c11b4a1d5ff07c1f6c24db74652227ffd5;37b0ad51d9a3d592e279af4a64c7fb9c1f6a959d;2;2011-08-12 
c7b96484c36e12b47cd0b10e80856425691adfd7;9cd100480f863621f7d1ce8370feb81a6457e6cd;1;2014-01-21 
d5f95098a3dd310b40bb79361c0802f6d5acd9f5;08f2311c4037c39bf80a4a905169327841d2e845;1;2013-09-15 
c4fc5601cc86576e600213455986336417cdf39b;42b6e7f997130c71e27a3845d026b550b0594558;3;2010-03-25 
3e3e8f476c5d3f5138723978a9c67c44b2b6ba00;a0021d4e859af50fab434d38c94f95d9cf256a14;3;2013-06-18 
5d1eaa0d7d6c24af5a98a70775923e39d8bb86a0;806d6c14fd3d81bf518ab52076d185d3b03c3813;3;2012-02-19 
847b1121854cfacdb5714e1cfbdd5957a29b4f70;15427a9d72d8b2c1040ca2769bc49d9ac1d9797b;1;2013-02-07 
1762a7502cc0c78f73ccb1e3c9a4770b0d8ba77a;dac5a5d5f17cac0ed501bd1dc951dbcea019e0fe;2;2013-02-23 
3e3e8f476c5d3f5138723978a9c67c44b2b6ba00;a38a6038e4dd409fc1dcc47152e13c6f6570960a;3;2013-05-25 
582d501210d7647e663d6f957cd1868bd3d35256;1ef9a4c25a18b7e0c0d1d90ae376c30ddcb1c4d9;3;2012-03-26 
48ca164c1a0d18ded597238c5b31f0df972e9fa8;c5c4bf3f0eee601aeb24ace2cfc2bb4ef31807fc;2;2010-04-13 
aad260c11b4a1d5ff07c1f6c24db74652227ffd5;c4192f291734add87bb209d7c1293616d66adb6e;3;2011-08-12 
029bbe26974a74aa833be0c8caead38159067172;9ee377c919a8395ac116c926eb7e6d90e554c8ed;1;2010-02-24 
7e562106d183d9a1fe49445c4ef60155d7eed369;5edc8cb6ea2b270c4d5c6e1576c8ebb3b5d4d2d6;3;2010-12-19 
c4e77e810975cbf914c199f9ba031b621b505f90;b24c50cee10163e57c57e577514fe4024102428e;1;2011-11-13 
45158d47b4ad5cbc49dccf3fe4091d932e5ad99a;f45eafa1e2771f0bdf355e03dcdff3a83c472092;1;2012-12-28 
2ac52a6331e9b4c9a3832738b55707d9a28d7cae;99a2dd5c2e407355b2c0233685c11efdde094f78;2;2012-12-14 
9d28f57836503a13207eb10ac588a7d09ba20a37;4b7e20f1053fa996a30a51c8f8f6333dd407c5cf;2;2011-07-01 
2483a0d7df04af744646fb1faa714962bd1ae131;d18ad364ec29cf5e007a2aed9a498706d5c5bbb4;1;2013-12-19 
